Sr. No.,Heading,Summary,Time,CCM,Content,Edition,Lnaguage,Publication,Sentiment,Authors
645,"A yr on, govt recognises 6 soldiers killed in Op Sindoor","More than a year after Operation Sindoor, the Indian government has officially recognized six military personnel killed in the conflict by inscribing their names on the National War Memorial's roll of honour. Two of these soldiers, Rifleman Sunil Kumar and Sergeant Surendra Kumar, were posthumously awarded the Vir Chakra and Vayu Sena Medal, respectively. Operation Sindoor was launched in response to a terror attack in Pahalgam, and Indian forces subsequently struck terror-linked sites in Pakistan and PoK.",27-06-2026 09:41,432.57,"MORE than a year after Operation Sindoor, the government has officially recorded the names of the six military personnel who made the supreme sacrifice during the four-day war by including them in the roll of honour at the National War Memorial. It marked the first official recognition of fatalities in the conflict. The names have been inscribed on the Tyag Chakra (Circle of Sacrifice) at the War Memorial in New Delhi. The monument comprises 16 concentric granite walls bearing the names, ranks and units of personnel who laid down their lives since Independence. The martyrs are Subedar Major Pawan Kumar of HQ 10 Infantry Brigade, Rifleman Sunil Kumar of 4 JAKLI, Lance Naik Dinesh Kumar of 5 Field Regiment, Agniveer Mood Muralinaik of 851 Light Regiment, Havildar Sunil Kumar Singh of 237 Field Workshop Company and Sergeant Surendra Kumar of No 39 Wing of the Indian Air Force. Two of the six were decorated with gallantry awards: Rifleman Sunil Kumar was posthumously awarded the Vir Chakra, India's third-highest wartime gallantry award, while Sergeant Surendra Kumar was awarded the Vayu Sena Medal. Mood Muralinaik is the only Agniveer to lose his life during Operation Sindoor. Naik was killed in Pakistani shelling in Poonch on May 9, 2025. His death has since become the subject of a legal tussle before the Bombay High Court, where his family has sought parity in pensionary and welfare benefits with the regular soldiers. Operation Sindoor was launched on May 7 last year, in response to the April 22 terror attack in Pahalgam that killed 26 civilians. Indian armed forces struck nine terror-linked sites in Pakistan and Pakistan-occupied Kashmir associated with Jaish-e-Mohammed and Lashkar-e-Taiba. The names of the six soldiers on Wall 3D under the 2025 Roll of Honour | Pn",Bhubaneswar,English,The New Indian Express,POSITIVE,[]
646,Disclosure of names of martyrs of Operation Sindoor: Government has for the first time announced the names of martyrs: Names inscribed on the War Memorial and its website.,"The Indian government has officially disclosed the names of six soldiers martyred during 'Operation Sindoor,' an operation conducted last May to destroy terrorist camps in Pakistan and PoK. Their names are now published on the National War Memorial's website and inscribed on the memorial in New Delhi. This marks the first time the government has officially acknowledged the losses suffered by the armed forces during this operation, honoring the fallen heroes.",27-06-2026 09:37,130.08,"New Delhi, Date 26: The Government of India has for the first time officially disclosed the names of 6 Indian Army personnel who were martyred for the country during Operation Sindoor. Operation Sindoor was carried out in May last year to destroy terrorist camps in Pakistan and PoK. The names of these 6 martyrs have been published in the Roll of Honour section on the website of the National War Memorial and are also inscribed on the War Memorial located in New Delhi.

For the first time, the government has publicly and officially acknowledged the damage suffered by the Indian armed forces during the operation. According to the National War Memorial website, the names of the martyrs are inscribed on Wall 3D of the memorial in the 2025 section. These personnel include 10 Infantry Brigade Subedar Major Pawan Kumar, 4 Jammu and Kashmir Light Infantry Rifleman Sunil Kumar (Vir Chakra), 5 Field Regiment Lance Naik Dinesh Kumar, 851 Light Regiment Aviation Technician Mood Muralinayak, 237 Field Workshop Company Havaldar Sunil Kumar Singh, and Sergeant Surendra Kumar.

During the four-day conflict between India and Pakistan in May 2025, various speculations were ongoing regarding military losses.",Ahmedabad,Gujarati,Kutch Mitra,POSITIVE,[]
647,"6 Indian Soldiers Sacrificed in Operation Sindoor, Names Revealed for the First Time Names of Sacrificed Soldiers Inscribed at National War Memorial","The Central Government of India has for the first time publicly released the names of six soldiers martyred in Operation Sindoor, an anti-terrorist operation in Jammu and Kashmir, inscribing them on the National War Memorial. This operation, launched in response to a previous terrorist attack, saw Indian forces eliminate over 100 terrorists in Pakistan-occupied Kashmir and Punjab Province, signifying a decisive shift in India's policy towards immediate and strong military retaliation against terror.",27-06-2026 09:34,1106.75,"New Delhi: Six Indian soldiers were martyred in Operation Sindoor, launched in response to a terrorist attack in Pahalgam, Jammu and Kashmir. For the first time, the Central Government has made public the names of these servicemen. The names of these brave sons, who made the supreme sacrifice for the country, have been inscribed on Wall 3D of the National War Memorial near India Gate in New Delhi, offering heartfelt tributes. Among those martyred are five Indian Army personnel and one Air Force Sergeant. Their names, along with unit names, are on Wall 3D of the Chakra of Sacrifice. The names have been carved on the wall and updated on the official website. At the corner of Wall 3D, 'Op (Operation) Sindoor' is written on the topmost brick, and '2025' on the brick below it. Below this, in separate rows, the names of all six martyrs are recorded. These were the sacrifices: Subedar Major Pawan Kumar (10 Infantry Brigade HQ), Rifleman Sunil Kumar (4th Bn, J&K Light Infantry), Lance Naik Dinesh Kumar (5th Field Regiment), Agniveer Mood Murali Nayak (851 Light Regiment), Havildar Sunil Kumar Singh (237 Field Workshop), and Sergeant Surendra Kumar (39 Wing, Air Force). Rifleman Sunil Kumar was posthumously awarded the Vir Chakra, and Sergeant Surendra Kumar received the Vayu Sena Medal. The immortal saga of the martyrs and the memorial is a tribute to those who sacrificed their lives for the country after independence. The Amar Jawan Jyoti burns at the memorial's center. India's retaliatory action on terrorist attacks: Last year, on April 22, 26 people, including 25 tourists and a local horseman, were killed in indiscriminate firing by terrorists in Pahalgam's Baisaran Valley. To avenge this, Indian armed forces launched Operation Sindoor on May 7, 2025. The Indian Army destroyed terrorist hideouts in Punjab Province and Pakistan-occupied Kashmir (PoK), killing over 100 terrorists. India's policy has changed: Operation Sindoor has forever changed India's policy towards terrorist attacks. It has proven that India will now respond immediately, measuredly, and with extremely strong military action to any attack, instead of tolerating it.",Delhi,Hindi,Amar Ujala,POSITIVE,[]
648,"Now, the names of these brave soldiers will be immortalized forever in the National War Memorial.
Identification of 6 martyrs of Operation Sindoor announced.
Now, the names of these brave soldiers will be permanently inscribed on special granite bricks in the National War Memorial.","The Indian government has announced the names of six martyrs from Operation Sindoor, an operation conducted by the Indian Armed Forces in April-May 2024 against terrorist hideouts in Pakistan and PoK. These brave soldiers, including five from the Army and one from the Air Force, will have their names permanently inscribed on granite bricks at the National War Memorial in Delhi. The operation was a strong response to a terrorist attack in Pahalgam, Jammu and Kashmir, which resulted in civilian casualties.",27-06-2026 09:25,232.41,"(Agency)
New Delhi, Date 26
The Indian government has announced the names of six brave soldiers who made the supreme sacrifice for the country in Operation Sindoor. Now, the names of these brave soldiers will be permanently inscribed on special granite bricks in the National War Memorial located near India Gate in Delhi. Visitors here will be able to learn about their heroic tales.

It is to be noted that these six martyrs include five Indian Army personnel and one Indian Air Force sergeant. Rifleman Sunil Kumar was posthumously honored with the Vir Chakra and Sergeant Surendra Kumar with the Vayu Sena Medal. According to defense sources, most of the soldiers were martyred during Operation Sindoor in Jammu and Kashmir.

These are the names of the 6 martyred soldiers:
- Major Pawan Kumar, Subedar, Headquarters 10th Infantry Brigade
- Sunil Kumar, Rifleman, 8th Battalion, Jammu and Kashmir Light Infantry Regiment
- Naik Dinesh Kumar, 5th Light Regiment
- Murali Nayak, 259 Light Regiment Agniveer
- Sunil Kumar Singh, 239 Field Workshop Havaldar
- Surendra Kumar, Sergeant, 38 Wing, Indian Air Force

The government has announced the names of six soldiers who made the supreme sacrifice for the country. These soldiers were martyred during a historic and secret military operation conducted by the Indian Armed Forces on May 2, 2024, against eight terrorist hideouts located in Pakistan and PoK.

It is to be noted that the Indian Army participated in Operation Sindoor in response to a horrific terrorist attack that occurred in Pahalgam, Jammu and Kashmir, during April-May 2024. This attack claimed the lives of innocent Indian citizens, and many women lost their husbands. As a response to the grief of the victimized women and against terrorism, this operation was named Operation Sindoor. The Indian Army displayed extraordinary bravery and valor during this operation, giving a strong response to the nation's outrage.",Ahmedabad,Gujarati,Vrajkishan Bhoomi,POSITIVE,[]
649,"Over a year after Op Sindoor, Centre officially names six soldiers killed in action","The Union government has officially recognized six military personnel killed in Operation Sindoor, inscribing their names on the National War Memorial's Roll of Honour. Two of these soldiers, Rifleman Sunil Kumar and Sergeant Surendra Kumar, were posthumously decorated with the Vir Chakra and Vayu Sena Medal, respectively. The article also highlights a legal challenge regarding pensionary benefits for an Agniveer killed in the operation, with the Centre affirming Agnipath scheme benefits but not those for regular service personnel.",27-06-2026 09:22,182.73,"NEW DELHI: More than a year after Operation Sindoor, the Union government has officially recorded the names of the six military personnel who lost their lives during the operation by including them in the Roll of Honour at the National War Memorial (NWM), marking the first official listing of the fatalities from the conflict. The names have also been inscribed on the Tyag Chakra (Circle of Sacrifice) at the memorial in New Delhi. The monument comprises 16 concentric granite walls bearing the names, ranks and units of personnel who have laid down their lives in service since Independence. The six are listed on Wall 3D under the 2025 Roll of Honour. Those named are Subedar Major Pawan Kumar of Headquarters 10 Infantry Brigade, Rifleman Sunil Kumar of 4 Jammu and Kashmir Light Infantry, Lance Naik Dinesh Kumar of 5 Field Regiment, Agniveer Mood Muralinaik of 851 Light Regiment, Havildar Sunil Kumar Singh of 237 Field Workshop Company, and Sergeant Surendra Kumar of No. 39 Wing of the Indian Air Force.

Two of the six were decorated for gallantry. Rifleman Sunil Kumar was posthumously awarded the Vir Chakra, India's third-highest wartime gallantry award, while Sergeant Surendra Kumar was awarded the Vayu Sena Medal. Operation Sindoor was launched in the early hours of May 7 last year, in response to the April 22 terror attack in Pahalgam that killed 26 civilians, most of them tourists. Indian armed forces struck nine terror-linked sites in Pakistan and Pakistan-occupied Kashmir associated with Jaish-e-Mohammad and Lashkar-e-Taiba. The cessation of hostilities took place on May 10 after the Directors General of Military Operations (DGMOs) of India and Pakistan agreed to halt military action. Importantly, the list includes Agniveer Mood Muralinaik of 851 Light Regiment, the only Agniveer to lose his life during Operation Sindoor. Naik was killed in Pakistani shelling in Poonch on May 9, 2025. His death has since become the subject of a legal challenge before the Bombay High Court, where his family has sought parity in pensionary and welfare benefits with the families of regular soldiers. The Centre has maintained that Agniveers are entitled to all benefits prescribed under the Agnipath scheme but not to pensionary benefits available to regular service personnel.",Ahmedabad,English,Sushila Times,POSITIVE,[]
650,"Operation Sindoor: Names of 6 martyrs made public for the first time; 5 Army, 1 Air Force personnel attacked in PoK","The names of 6 Indian armed forces personnel martyred during 'Operation Sindoor' have been officially released and inscribed on the National War Memorial. This operation involved precise Indian airstrikes on 9 terrorist hideouts in Pakistan and PoK, killing over 100 terrorists. The strikes, which destroyed several Pakistani airbases, were followed by an agreement between Indian and Pakistani DGMOS to cease military operations.",27-06-2026 09:04,129.18,"New Delhi (Agency). The names of 6 Indian armed forces personnel martyred during Operation Sindoor have been officially made public for the first time. These names have been included in the Roll of Honour on the National War Memorial's website. Their names have also been inscribed on the 3D wall of the National War Memorial in New Delhi, in the section for the year 2025. Under Operation Sindoor, the Indian armed forces carried out precise attacks on 9 terrorist hideouts linked to Jaish-e-Mohammed and Lashkar-e-Taiba in Pakistan and Pakistan-Occupied Kashmir (PoK). Several Pakistani airbases were destroyed in India's airstrike – India had destroyed several Pakistani airbases under Operation Sindoor. Private company Maxar's satellite had released photos of these destroyed airbases. The Pakistani airbases whose photos Maxar released included Sargodha, Noor Khan, Bholari, and Sukkur. The photos clearly showed the situation there before and after the attack. The Army had stated on the morning of May 7, 2025, that 9 targets had been identified in Pakistan and PoK. The Indian government had stated that more than 100 terrorists were killed in these attacks. Subsequently, after talks between the Director Generals of Military Operations (DGMOS) of India and Pakistan on May 10, both countries had agreed to cease military operations.",Dehradun,Hindi,Dainik Hawk,POSITIVE,[]
651,Govt Reveals Names of 6 Soldiers Killed in Action During Op Sindoor,"The central government has released the names of six soldiers killed during Operation Sindoor, an operation involving precision strikes by the Indian Armed Forces on terrorist hideouts of Jaish-e-Mohammed and Lashkar-e-Taiba in Pakistan and PoK. This operation follows the Indian Army's earlier announcement on May 7, 2025, about destroying nine terror targets, including training centers in Muzaffarabad, PoK, which were used by terrorists involved in attacks in Sonamarg, Gulmarg, and Pahalgam.",27-06-2026 09:03,141.62,"New Delhi (Agency): The central government has released the names of six soldiers who were killed during Operation Sindoor, making public the identities of the personnel for the first time. The names of the Operation Sindoor martyrs released by the authorities are Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Agniveer Mood Murli Naik, Havildar Sunil Kumar Singh, and Sergeant Surendra Kumar. Under Operation Sindoor, the Indian Armed Forces carried out precision strikes on nine terrorist hideouts belonging to Jaish-e-Mohammed and Lashkar-e-Taiba in Pakistan and Pakistan Occupied Kashmir (PoK).

Army Had Revealed Airstrike Targets
On the morning of 7 May 2025, the Indian Army said it had identified and destroyed nine terror targets in Pakistan and Pakistan-occupied Kashmir (PoK). The strikes targeted terrorist launch pads and training centres. Sawai Nala training centre of Lashkar in Muzaffarabad. Terrorists involved in the Sonamarg, Gulmarg and Pahalgam attacks had trained here. Syedna Bilal Camp in Muzaffarabad.",Dehradun,English,The Hawk,POSITIVE,[]
652,Names of six soldiers martyred in 'Operation Sindoor' made public,"The Central Government has publicly released the names of six Army and Air Force personnel who made the supreme sacrifice during 'Operation Sindoor' last year. Their names are inscribed on the National War Memorial in New Delhi and published on its 'Roll of Honor' section. Two of these bravehearts, Rifleman Sunil Kumar and Sergeant Surendra Kumar, have been posthumously awarded the Vir Chakra and Vayu Sena Medal respectively.",27-06-2026 08:52,2325.8,"New Delhi, Agency. The Central Government has for the first time made public the names of six soldiers who made the supreme sacrifice during 'Operation Sindoor'. From the first official disclosure of losses to the Indian Armed Forces, it is clear that during this operation last year, both Army and Air Force personnel laid down their lives for the country. In fact, the names of these six soldiers have been inscribed on the wall of the National War Memorial in New Delhi. This wall is dedicated to the bravehearts who sacrificed their lives for the country. Their names have also been published in the 'Roll of Honor' section of the Memorial's website. The official confirmation of the soldiers who sacrificed during 'Operation Sindoor' has come for the first time with the revelation of these names. Campaign linked to the Memorial: With the names of the soldiers being added to the National War Memorial, 'Operation Sindoor' has also become part of those campaigns that are remembered in this memorial. Both Army and Air Force personnel are among these six martyrs. Two gallantry awards were given: Rifleman Sunil Kumar, who sacrificed his life during 'Operation Sindoor', has been awarded the Vir Chakra. Air Force Sergeant Surendra Kumar has been posthumously honored with the Vayu Sena Medal (Gallantry). These are the immortal soldiers: 1. Subedar Major Pawan Kumar, 10 Infantry Brigade Headquarters 2. Havildar Sunil Kumar Singh, 237 Field Workshop Company 3. Lance Naik Dinesh Kumar, 05 Field Regiment 4. Rifleman Sunil Kumar, 04 Jammu-Kashmir Light Infantry 5. Aviation Technician Mood Murali Naik, 851 Light Regiment 6. Sergeant Surendra Kumar, 39 Wing (Air Force)",Delhi,Hindi,Hindustan,POSITIVE,"[""Agency""]"
653,"Names of 6 martyrs of Operation Sindoor revealed for the first time, registered on War Memorial website","The Indian government has officially revealed the names of six soldiers martyred during Operation Sindoor, a cross-border operation against terrorist hideouts in Pakistan and PoK in May 2025, and their names have been added to the National War Memorial's Roll of Honour. This operation, launched on May 7, 2025, was a response to a terrorist attack in Pahalgam on April 22 that killed 26 civilians. Indian forces targeted terror infrastructure linked to Jaish-e-Mohammed and Lashkar-e-Taiba, with both countries later agreeing to cease military action on May 10.",27-06-2026 08:41,3102.88,"Haribhumi News | New Delhi The six soldiers martyred during the Indian Army's Operation Sindoor have now been formally revealed to the nation. The government has for the first time made public the names of these martyrs. These names have been included in the Roll of Honour on the National War Memorial website. They have been inscribed on Wall 3D, Section 2025, of the War Memorial. This is the first time the government has officially confirmed the deaths in the cross-border Operation Sindoor, conducted against terrorist hideouts in Pakistan and Pakistan Occupied Kashmir (PoK) in May 2025. Names of Martyrs and their Units: * Subedar Major Pawan Kumar – Headquarters 10 Infantry Brigade * Rifleman Sunil Kumar, Vir Chakra – 4 Jammu & Kashmir Light Infantry * Lance Naik Dinesh Kumar – 5 Field Regiment * Aviation Technician Mood Muralinayak – 851 Light Regiment * Havildar Sunil Kumar Singh – 237 Field Workshop Company * Sergeant Surendra Kumar, Vayu Medal – 39 Wing Operation Sindoor was launched after the Pahalgam attack 'Operation Sindoor' was launched on the morning of May 7, 2025. This operation began a few weeks after the terrorist attack in Pahalgam on April 22, which killed 26 civilians, mostly tourists. Indian armed forces carried out precise attacks on nine terror-related hideouts in Pakistan and Pakistan Occupied Kashmir. The infrastructure linked to Jaish-e-Mohammed and Lashkar-e-Taiba was targeted in these attacks. Following talks between the 'Director Generals of Military Operations' of both countries, India and Pakistan agreed to cease military action on May 10.",Raipur,Hindi,Haribhoomi,POSITIVE,[]
654,Operation Sindoor: Names made public on National War Memorial website Names of 6 martyrs will be immortalized at the National War Memorial,"The article reports that the names of six Indian soldiers, martyred in 'Operation Sindoor' against terrorists in Pakistan-occupied Kashmir and Pakistan, have been made public and will be inscribed on the National War Memorial in New Delhi. Five soldiers were from the Indian Army and one from the Indian Air Force, with two, Rifleman Sunil Kumar and Sergeant Surendra Kumar, posthumously receiving the Vir Chakra and Vayu Sena Medal respectively. President Droupadi Murmu presented the Vir Chakra to Rifleman Sunil Kumar's parents on June 8.",27-06-2026 08:36,687.07,"Punjab Kesari/New Delhi The Indian Army had conducted 'Operation Sindoor' last year against terrorists hidden in Pakistan-occupied Kashmir and Pakistan. In this successful operation, 6 brave soldiers of the Indian armed forces made the supreme sacrifice of their lives. The names of these martyrs will now be inscribed on the National War Memorial located in New Delhi. The names of all these 6 martyrs will be inscribed on granite bricks at the National War Memorial here. The names of these martyrs have been made public on the National War Memorial website. The martyrs include 5 soldiers from the Indian Army and one sergeant from the Indian Air Force. The government has also honored two martyrs for their bravery. Among them, Rifleman Sunil Kumar was posthumously awarded the Vir Chakra, and Sergeant Surendra Kumar was posthumously awarded the Vayu Sena Medal. The brave soldiers martyred in Operation Sindoor include Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Agniveer Mood Murali Nayak, Havildar Sunil Kumar Singh, and Sergeant Surendra Kumar of the Indian Air Force. Among them, five soldiers belonged to the Indian Army and one to the Indian Air Force. The names of all these six brave soldiers who made the supreme sacrifice while defending the country during Operation Sindoor have been officially made public. The names of the martyrs are being inscribed on the new National War Memorial, ensuring their sacrifice remains alive in the nation's memory forever. Two of these six martyrs have also been awarded military honors for their extraordinary bravery. Rifleman Sunil Kumar was posthumously awarded the Vir Chakra, which is the country's third-highest wartime gallantry award. Sergeant Surendra Kumar was awarded the Vayu Sena Medal. According to reports, Rifleman Sunil Kumar was deployed on the Line of Control during the operation. He attained martyrdom while performing his duty there. On June 8, at a defense investiture ceremony, President Droupadi Murmu posthumously honored him with the Vir Chakra. This honor was received by his parents, Sudesh Kumari and Yash Pal. The names of these heroes of Operation Sindoor have been made public along with the list of all soldiers who sacrificed their lives in various military operations during the year 2025. It is noteworthy that the 'Tyag Chakra' of the National War Memorial is dedicated to the martyrs of the country. It consists of 16 circular granite walls, on each brick of which are inscribed the names, ranks, and units of soldiers who made the supreme sacrifice for the country after independence.",Delhi,Hindi,Punjab Kesari,POSITIVE,[]
655,"Names of 6 martyrs of Operation Sindoor made public for the first time, remembered at National War Memorial, including 5 Army, 1 Air Force personnel","The names of six Indian Armed Forces personnel martyred during 'Operation Sindoor' have been officially made public and inscribed on the National War Memorial's Roll of Honour and 3D wall. Two of these martyrs, Rifleman Sunil Kumar and Sergeant Surendra Kumar, were posthumously awarded the Vir Chakra and Vayu Sena Medal, respectively. The article also details that under Operation Sindoor, Indian forces conducted precise strikes on May 6, 2025, targeting nine terrorist hideouts in PoK, eliminating over 100 terrorists, which led to an agreement with Pakistan to cease military action.",27-06-2026 08:28,2545.52,"New Delhi: The names of 6 personnel of the Indian Armed Forces who were martyred during Operation Sindoor have been officially made public for the first time. These names have been included in the 'Roll of Honour' on the website of the National War Memorial (NWM). This website mentions the names of all those martyrs of India who participated in any war or operation for the country. The personnel martyred during Operation Sindoor include Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, AV Mood Muralinayak, Havildar Sunil Kumar Singh, and Surendra Kumar. Their names have also been inscribed on the 3D wall of the National War Memorial located in New Delhi, in the section for the year 2025. The 'Tyag Chakra' of NWM has 16 circular granite walls, on which the name, rank, and unit of every soldier who sacrificed their life for the country since independence are written. 2 martyrs received gallantry awards: Two of these 6 martyrs of Operation Sindoor have received gallantry honours. Rifleman Sunil Kumar was posthumously awarded the Vir Chakra. While Sergeant Surendra Kumar was posthumously awarded the Vayu Sena Medal for his bravery. 9 terrorist hideouts targeted in PoK on May 6, 2025 Under Operation Sindoor, Indian Armed Forces carried out precise attacks on 9 terrorist hideouts linked to Jaish-e-Mohammed and Lashkar-e-Taiba in Pakistan and Pakistan Occupied Kashmir (PoK). The Government of India had stated that more than 100 terrorists were killed in these attacks. Subsequently, after talks between the Directors General of Military Operations (DGMOs) of India and Pakistan on May 10, both countries agreed to cease military action.",Kolkata,Hindi,Sanmarg,POSITIVE,[]
656,"'Operation Sindoor': Martyrs and Jawans, Modi Government's First Acknowledgment","The Modi government has for the first time acknowledged the deaths of six jawans during 'Operation Sindoor' in Pahalgam, despite earlier statements. This acknowledgment comes amidst strong criticism from the Congress party, which accuses Defense Minister Rajnath Singh of lying and concealing the truth about the operation. Separately, authorities in Hyderabad recovered 50 lakh rupees in cash and significant jewelry from the home of a suspended Telangana land department officer arrested on bribery charges.",27-06-2026 08:24,413.93,"New Delhi: Every year in Pahalgam, during the Amarnath Yatra, Indian jawans died during 'Operation Sindoor'. The Narendra Modi government at the Centre has acknowledged this for the first time in public. The Ministry of Defence has stated that this information was provided in a written reply by the minister in the Lok Sabha on July 24, 2019. No Indian soldier was martyred during 'Operation Sindoor'. However, the government also stated that 6 jawans were martyred. Detailed news is available in the public domain. The names of martyred jawans have been published on the National War Memorial website under 'Roll of Honour'. It has been informed that the names have been engraved on the 'OD' wall at the War Memorial or War Memorial. The government has stated that in 2019, all soldiers listed by the Ministry of Defence in the Lok Sabha, 'Operation Sindoor' and the names of these brave jawans have been published. This information about 'Operation Sindoor' being an internal activity of the country is now good news.

Congress vocal against Defense Minister
Major Pawan Kumar, High Command Sunil Kumar (Vir Chakra), Lance Naik Dinesh Kumar, Abhigyan Tensionan Mup Muralinayak, Havildar Sunil Kumar C and Sergeant Surendra Kumar (Babu Medal). Among these 6 martyrs, Sergeant Surendra Kumar was from the Air Force, the remaining five martyrs were from the Indian Army. Last year in April, 18 jawans were martyred in a terrorist attack in Pahalgam, Jammu and Kashmir. Traditionally, India started 'Operation Sindoor' on May 9. Pakistan and Pakistan-occupied Kashmir's

July 26, 2020
Lok Sabha Session
Your Question
Why were our soldiers harmed in this operation? The answer is no. Our army suffered no harm.

Rajnath Singh Defense Minister
was lying, he knew the truth. But he took an oath and kept everyone quiet. This is an even more serious matter.

Suspended Officer's House
Jewelry-Cash Recovered
Hyderabad: The Deputy Superintendent of Telangana's Land Department, who was arrested on charges of taking a bribe of 50 lakh rupees, had all illegal disguises seized from the Land Department secretariat. Now, the Anti-Corruption Bureau has found a huge amount of property belonging to that suspended officer. During the search, 50 lakh rupees in cash and a lot of jewelry were recovered. The Income Tax Department conducted a raid.

After the four-day annual Ambubachi Mela, devotees thronged as the doors of Kamakhya Temple opened. Photo by Guwahati & PTI.",Kolkata,Bengali,Bartoman,NEGATIVE,[]
657,Names of six soldiers who attained martyrdom during 'Operation Sindoor' inscribed on the National War Memorial,"The National War Memorial now bears the names of six Indian military personnel, five from the Army and one from the Air Force, who were martyred during 'Operation Sindoor' last year. This operation involved the Indian Army launching fierce retaliatory strikes against terrorist hideouts in Pakistan and Pakistan-occupied Kashmir following a terrorist attack in Pahalgam. The military conflict between India and Pakistan, both nuclear-armed nations, ceased on May 10 after an agreement.",27-06-2026 08:23,115.32,"New Delhi: The names of six military personnel who attained martyrdom while performing their duty during 'Operation Sindoor' last year have been inscribed on the National War Memorial. These military personnel include five from the Army and one from the Indian Air Force. This is the first time since the military campaign conducted by the Indian Armed Forces in May 2025 that the government has released the names of these six personnel. After the terrorist attack in Pahalgam on April 22 last year, the Indian Army had launched fierce attacks on terrorist hideouts in Pakistan under 'Operation Sindoor'. The names of the six military personnel inscribed on 'Udi' wall number of the 'Tyag Chakra' at the National War Memorial include Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Agniveer M Muralinaik, Havildar Sunil Kumar Singh from the Army, and Sergeant Surendra Kumar from the Indian Air Force. Along with the names of these brave military personnel who sacrificed their lives, their unit names have also been inscribed. Sources said that these six names were recently written on the wall. This memorial respectfully pays tribute to those Indian soldiers who sacrificed their lives defending the country during wars since independence. On the corner of the 'Udi' numbered wall, 'Operation Sindoor' is written on an brick in the topmost line. Below that brick, '2025' is written, and after that, the names of the six military personnel are written in a column in separate lines of bricks. India had destroyed several terrorist hideouts located in Pakistan and Pakistan-occupied Kashmir (PoK) in its military action under 'Operation Sindoor' on May 7 last year. Pakistan also launched attacks against India, and all subsequent retaliatory attacks by India were also carried out under 'Operation Sindoor'. The military conflict between the two nuclear-armed neighboring countries stopped on the evening of May 10 after an agreement was reached.",Kolkata,Hindi,Samagya,POSITIVE,[]
658,Revelation after 13 months: Names inscribed on the 'Tyag Chakra' of the War Memorial,"The Indian government has revealed the names of six soldiers martyred in 'Operation Sindoor' in May 2025, inscribing them on the National War Memorial's 'Tyag Chakra' and uploading them online. This operation, launched in response to the Pahalgam attack, involved precise strikes on terrorist hideouts in Pakistan and PoK, killing over 100 terrorists. The conflict led to a four-day military confrontation and subsequent ceasefire agreement between India and Pakistan.",27-06-2026 08:20,2413.17,"In response to the Pahalgam terrorist attack, 6 soldiers were martyred in 'Operation Sindoor' launched by India in May 2025. The government has made their names public for the first time after about 13 months. Their names have been inscribed on the granite slabs of the 'Tyag Chakra' at the National War Memorial in New Delhi. Along with the list of soldiers martyred in various military operations during 2025, their names have also been uploaded on the Memorial's website. Of the six martyrs, five were from the Army and one from the Air Force. Rifleman Sunil Kumar was posthumously awarded the Vir Chakra, and Sergeant Surendra Kumar was posthumously awarded the Vayu Sena Medal. It is worth noting that Operation Sindoor began on May 7, 2025. The Indian armed forces carried out precise attacks on nine terrorist hideouts in Pakistan and PoK. More than 100 terrorists associated with Lashkar-e-Taiba, Jaish-e-Mohammed, and Hizbul Mujahideen were killed in these attacks. Following this, Pakistan initiated drone attacks and shelling, leading to a four-day military confrontation. After actions against several military establishments located in Pakistan, talks were held between the DGMOs of both countries, and a ceasefire was agreed upon on May 10.",Delhi,Hindi,Dainik Bhaskar,POSITIVE,[]
