Sr. No.,Link,Headline,Channel,Summary,Translation unavailable,Language,Date & Time,Semtiment,Likes,Comments
1307568,https://www.youtube.com/watch?v=iOfqAkV8vcc,Jammu Kashmir News: Pakistan not stopping its nefarious activities! Infiltration attempt foiled at LOC,Bharat 24 - Vision Of New India ,"Pakistan continues its nefarious activities, with Indian Army personnel apprehending a 26-year-old Pakistani youth, Mohammad Sajjad, while he was infiltrating across the Line of Control in Poonch. This marks the second such incident in 17 days. Pakistan uses civilians from occupied territories for reconnaissance to plan attacks. While some infiltrators are imprisoned, others are returned on humanitarian grounds. The recurring infiltration attempts suggest a larger scheme by Pakistan, which had previously caused destruction in Poonch during Operation Sindoor. The Indian Army is on high alert, asserting that all of Pakistan's attempts will be foiled.","Pakistan is not refraining from its nefarious activities. In Jammu's Poonch district, a Pakistani youth was apprehended by army personnel while infiltrating across the India-Pakistan Line of Control. He has been identified as 26-year-old Mohammad Sajjad. This is the second incident of attempted infiltration at the Line of Control in the last 17 days. Personnel of the Indian Army's Sarla Battalion were deployed late Friday evening in the Karmada area of Poonch's Gulpur sector, and during this time, they apprehended a Pakistani youth infiltrating into Indian territory from the Pakistan-occupied region. Earlier, in Poonch's Salotri area, a Pakistani boy, a resident of Tejari Note POJK, was apprehended while infiltrating via the Punsia river. He was sent back to his country via the Chakunda Bagh border point. Meanwhile, the apprehended Pakistani youth has been brought to the Sarla Battalion headquarters for interrogation. It is important to note that terrorists in Pakistan-occupied regions send citizens from across the border into Indian territory for reconnaissance. Many such Pakistani citizens are serving sentences in Indian jails on charges of illegal infiltration. However, several Pakistani citizens who mistakenly cross into Indian territory are sent back on humanitarian grounds after being given gifts. But the continuous occurrence of these activities from Pakistan in recent days indicates that something is amiss. Pakistan, which was badly defeated in Operation Sindoor, had caused extensive destruction in Poonch. Now, to target Poonch once again, it is using ordinary people for espionage to ascertain the army's location and facilitate attacks. Therefore, the Indian Army is also on high alert. No matter how many unholy attempts Pakistan makes, they are bound to fail.",Hindi,27-06-2026 05:46,POSITIVE,0,0
1307499,https://www.youtube.com/watch?v=eSTDCX5beYM,"What lie did the Modi government tell in Parliament? Exposed after 1 year, will they apologize?",Public Meter,"The video criticizes Defence Minister Rajnath Singh and the Modi government for allegedly lying to Parliament about soldier casualties in 'Operation Sindoor'. A year after Rajnath Singh stated no soldiers were harmed, the Indian Army revealed the names of six martyred personnel. The video highlights Rajnath Singh's statement, made while other ministers (including Amit Shah) were reportedly laughing, where he dismissed questions about casualties as ""small issues."" Opposition leaders, like Pawan Khera, are now naming the martyrs and accusing the government of hiding their sacrifices and disrespecting them, despite claiming to be nationalists. The video also touches on alleged nepotism, citing appointments of Rajnath Singh's sons to political positions. Critics demand an apology from Rajnath Singh and call for a privilege motion against him, emphasizing that every word in Parliament should uphold public trust. They question why the Prime Minister did not publicly honor these martyrs, unlike his attention to minor issues, concluding that the government seems indifferent to these revelations.","Tell lies, tell lies repeatedly. Tell all lies, everywhere, loudly, with full force. Media anchors, spokespersons, ministers, chief ministers, prime ministers, tell lies. But at least spare Parliament, the temple of democracy. What lie did Rajnath Singh tell a year ago? The army has revealed it, and Rajnath Singh's video has gone viral. A year later, the Indian Army named six soldiers martyred in Operation Sindoor. We salute their sacrifice. But why were their names not revealed at the time of the ceasefire and the parliamentary discussion? The public now demands a privilege motion against Defence Minister Rajnath Singh for his statement. His statement, made while mocking the opposition, saw ministers like Amit Shah grinning, as Rajnath Singh lied to Parliament, saying, 'If you want to ask a question, ask this: Have any of our brave soldiers been harmed in this operation? And the answer is no.' He argued that attention should not be diverted to 'smaller issues' like soldier casualties when goals are big. Rajnath Singh confidently lied, claiming no harm, but a year later, the army's disclosure confirms six martyrs. This statement is from July 28, 2025. Opposition leaders, including Pawan Khera, are questioning the Modi government, listing the six martyrs: Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Aviation Technician Mood Murali Naik, Havaldar Sunil Kumar Singh, Sergeant Surendra Kumar. These heroes sacrificed their lives for India's pride, and their names should be immortalized with due respect. However, it's alleged that for a year, the BJP government hid their martyrdom. The government, claiming nationalism, is accused of denying these heroes recognition. This is tragic and shameful. Why did Rajnath Singh lie in Parliament, while BJP ministers laughed? This behavior is disgraceful. Abhinay Maths states every word in Parliament carries public trust and responsibility. The public observes everything and will seek accountability. Rajnath Singh must answer. Dr. Santosh Yadav calls these leaders dishonest for lying about no casualties, only for six martyrs to be named later. He urges the opposition to move a privilege motion. The public asks if Rajnath Singh and TV anchors will apologize. Cartoonist Manjul says, 'Have some shame.' India, unlike China, should not hide its martyrs. We respect them. Why did the PM not publicly honor these martyrs? Opposition leaders raise these questions, but the government seems unaffected. Share your thoughts.",Hindi,27-06-2026 05:28,NEGATIVE,793,83
1307500,https://www.youtube.com/watch?v=Z9skF4vSsUE,"Oh my God! Did Rajnath Singh lie in Parliament? Caught red-handed, government revealed names.",Kumkum Binwal,"The speaker critically questions why Defense Minister Rajnath Singh allegedly lied in Parliament about zero casualties during 'Operation Sindoor', and why the government withheld the names of six martyred soldiers for over a year. The video highlights a contradiction between the Defense Minister's statement in Parliament a year ago, where he claimed no losses, and the recent official disclosure of the soldiers' names. The speaker expresses deep sorrow and calls this act a betrayal of trust, going against India's cultural tradition of honoring martyrs publicly. It's argued that the government even celebrated the operation's anniversary without acknowledging the fallen soldiers, only to release their names on an arbitrary day. The speaker demands an apology from Rajnath Singh and questions the transparency and integrity of the government.","Why did Rajnath Singh lie in Parliament? How was Defense Minister Rajnath Singh's lie exposed in Parliament? How did the government itself contradict Rajnath Singh's statement and finally tell the country the truth, or rather, how was the government forced to reveal the truth that had been hidden from this country for so long? Friends, there are different types of ministers in this government. For example, there are 'election ministers' who, whenever there are elections in any state, camp in the state capital for a month. Though they nominally hold a large portfolio, they are referred to as BJP's Chanakya. The responsibility for winning all elections for the BJP rests with them. Friends, besides these, there are many other ministers who only do what they are told. But there is one minister, Defense Minister Rajnath Singh, who is one of the very senior leaders of the BJP, having served as the national president of the BJP. And he is a very, I would say, soft-spoken leader with great credibility. Rajnath Singh doesn't just say anything. He doesn't say anything just to win elections or for election campaigning. But now the situation is such that a face like Rajnath Singh, who at least had some credibility, even he lied to the country in Parliament, and the country is only getting this information about a year later. Friends, Operation Sindoor, this is a moment of pride for our country, which we all share. Our brave soldiers and our country's army showed the whole world that not a single country in the entire world, not a single country, even if it doesn't stand with us, we can still bring Pakistan to its knees on our own, and even force it to beg for a ceasefire. But can you imagine, friends, that in that Operation Sindoor, in whose name the BJP asked for votes, that Operation Sindoor, whose anniversary was celebrated just a few months ago, in that Operation Sindoor, our country lost six brave soldiers. Friends, these six brave soldiers, these six brave officers of the army, gave the supreme sacrifice for the country. Supreme sacrifice means martyrdom. And do you know what is even more saddening? This truth is only now coming to light. Friends, what is Rajnath Singh's angle in this whole matter? Without beating around the bush, I will tell you now. Friends, what happened was, suddenly yesterday, news came that officially, yesterday the government announced on June 26, 2026, that the names of those six brave personnel of our armed forces who made the supreme sacrifice, who attained martyrdom during Operation Sindoor, have now been disclosed by the government. What are their names and how the whole country bows before them, I will tell you later, but do you know what is more important than that? This statement completely contradicts the government itself. Because Rajnath Singh, friends, you see, on July 28, 2025, that is, last year, after Operation Sindoor had happened, (a special session was not called for it), after that, in the first parliamentary session, Defense Minister Rajnath Singh had stood in Parliament and said that our army suffered no losses in this. Listen, 'And if you want to ask a question, then ask this: If you want to ask a question, then ask this: Was there any damage to our brave soldiers in this operation? And the answer to that is NO!' So the big question, friends, is whether Defense Minister Rajnath Singh lied in Parliament? Or did Defense Minister Rajnath Singh not have this information? Did Defense Minister Rajnath Singh deprive this country of that emotion, that feeling, just to thump the bench, which was our right? Friends, I want to name those six brave army personnel because it has been over a year. We didn't even know that they had been martyred for our country. This has never happened before. Friends, we would never want even a single drop of blood of any soldier of our country to be shed. But this is the destiny of war. This is the price that a nation, a society, has to pay, that lives are lost, martyrdoms happen. In all the wars we have fought till date, our soldiers have been martyred. The other side also loses, and so do we. Friends, this is an aspect of war that no one accepts, but it is the truth. How many mothers lose their womb? How many wives lose their husbands? How many children have to live their entire lives without a father? How many fathers have to carry their young sons on their shoulders? This is a pain, a burden that those families have to bear for their entire lives. But we have never done such things. Whenever there were wars, whoever was martyred, anyone, their mortal remains would arrive in their villages, their cities with great pride. The whole society would chant 'Bharat Mata ki Jai' there. I tell you personally, as a reporter, every news story is very difficult, it's different, but the most difficult reporting, the most difficult reporting is when a martyr is given a final farewell, because in that society, even people who don't know them, family members, people travel from far, far away, many kilometers, because they know that 100 kilometers away, 200 kilometers away, the mortal remains of a martyr have arrived. To chant 'Bharat Mata ki Jai' over that mortal remains, to give support to that entire family, people come from far and wide, and that reporting, that is the most difficult thing to do. Because how can you control your emotions when you are also a citizen of this country? That right was snatched from the people of this country. Today, this country has been informed. It has been more than a year since Operation Sindoor, that these six brave soldiers, jawans, army personnel sacrificed their lives. I will name all those six people and please listen to their names. Because, friends, the country is hearing their names after a year. Subedar Major Pawan Kumar, Headquarters 10 Infantry Brigade. Rifleman Sunil Kumar, Vir Chakra, of 4 Jammu and Kashmir Light Infantry. Lance Naik Dinesh Kumar, of 5 Field Regiment. Agniveer Mund Murali Naik, of 851 Life Regiment. Havildar Sunil Kumar Singh, of 237 Field Workshop Company. And Sergeant Surendra Kumar, Vayu Medal 39 Wing. Friends, on behalf of our country, on behalf of all of you, I salute all these six brave soldiers. I bow my head before the families of all of them and say thank you. Because, friends, they gave their supreme sacrifice, and that is why we are able to stay safe in our homes. And now I want to ask that government a question: as a society, as a country, why was that feeling, that emotion, snatched from us? It was our right to put our hands on the shoulders of those mothers, to hug them, to tell them that even if they lost one son, countless other sons stand with them. To put our hands on the heads of such children, to support such women, to console such fathers that even if they lost their son, the country is grateful to them. Why did we have to wait for more than a year for this? Here, let me remind you of one more thing, friends. On May 7, 2026, this country celebrated the first anniversary of Operation Sindoor. The entire BJP celebrated it. Prime Minister Modi himself also celebrated it. Everyone was changing their profile pictures. It could have been announced then. In fact, that was the best time to announce it. I don't know why it wasn't announced then in the first place. What could have been so important? But it wasn't announced, fine. But on the day you were celebrating the anniversary, the day you were celebrating that triumph, couldn't you have announced it then? You didn't even announce it on that day. On an unnamed day, when, on June 26, 2026, you are releasing the names. That too, when a year ago, you had already stated in Parliament that no soldiers suffered any casualties. So shouldn't Rajnath Singh apologize for standing in Parliament and lying to keep the people of the country in the dark? And if Rajnath Singh did not have this information, if he was made to lie, then that itself is a very serious question. Friends, in the history of this country, there have been different types of governments, but no government has ever done this. It has been our culture to own the martyrdom of our soldiers. We are proud of our soldiers. We don't hide it. But this is the first time this has happened, and personally, I am very, very saddened by this. How do you view this issue? Please write in the comment box, friends.",Hindi,27-06-2026 05:26,NEGATIVE,1842,233
1307447,https://www.youtube.com/watch?v=9xvJ4XXWRr4,Today's 10 AM Top News Headlines | 27June 2026 | Ram Mandir Donation Scam | PM Modi | Rahul,News 24,"One accused in the Ram Mandir donation theft case was sent to three days of judicial custody, and ₹80 lakh was recovered from eight other accused. The resignations of Champat Rai and Anil Mishra remain unconfirmed. In Bengal, CM Suvendu Adhikari announced plans to implement UCC and enact strict laws against religious conversion. PM Modi is on a three-day visit to Seychelles starting today, where he will be the chief guest at the 50th-anniversary celebration and hold bilateral talks with President Petrick Harmoni. The names of six martyrs from Operation Sindoor, including five from the army and one from the air force, have been inscribed on the War Memorial for the first time.","In the Ram Mandir donation theft case, an accused was sent to three days of judicial custody. Eight accused were sent to three days of judicial custody; so far, ₹80 lakh has been recovered in the investigation. The resignations of Champat Rai and trustee Anil Mishra have not been confirmed. Preparations are underway to implement UCC in Bengal as well, CM Suvendu Adhikari announced. The bill can be introduced in the assembly. He also spoke of making strict laws against religious conversion. PM Modi is on a three-day Seychelles tour starting today; he will participate as the chief guest in the 50th-anniversary celebration. He will hold bilateral talks with President Petrick Harmoni. For the first time, the names of six martyrs of Operation Sindoor have been made public. The names of five army and one air force martyred soldiers have been inscribed on the War Memorial.",Hindi,27-06-2026 04:37,POSITIVE,1,0
1307365,https://www.youtube.com/watch?v=MTY3AbSgmtY,"Names of Operation Sindoor martyrs revealed for the first time, who were they.. how were they martyred? | War Memorial",News 24,"The Indian government has for the first time released the names of six soldiers martyred in ""Operation Sindoor"": Lance Naik Dinesh Kumar, Aviator Murli Naik, Sergeant Surendra Kumar BM, Subedar Major Pawan Kumar, Rifleman Sunil Kumar, and Havaldar Sunil Kumar Singh. Their names are now inscribed on the National War Memorial's Roll of Honor and 3D digital wall. These soldiers made the ultimate sacrifice between May 7 and June 6, 2025, in various Jammu and Kashmir sectors while responding to Pakistani shelling, preventing infiltration, and attacking terrorist hideouts. Rifleman Sunil Kumar received the Vir Chakra posthumously, and Sergeant Surendra Kumar the Vayu Sena Medal. Operation Sindoor was India's retaliatory action after a terrorist attack in Pahalgam on April 22, 2025, targeting nine terrorist hideouts in Pakistan and PoK, neutralizing over 100 terrorists. This recognition is a national tribute to their indomitable courage and devotion to duty.","For the first time, the central government has officially released the names of six Indian soldiers martyred during Operation Sindoor. After about 13 months, their names have been included in the Roll of Honor on the website of the National War Memorial in New Delhi and inscribed on its 3D digital wall in the 2025 section. This memorial lists soldiers who made the supreme sacrifice for the country after independence. Now, the six martyrs of Operation Sindoor are also part of this glorious list.

The six soldiers martyred in Operation Sindoor are:
1.  **Lance Naik Dinesh Kumar (Haryana):** 5 Field Regiment. Martyred on May 7, 2025, in Poonch sector responding to Pakistani shelling. His wife was pregnant.
2.  **Aviator Murli Naik (Andhra Pradesh):** 851 Light Regiment. Seriously injured during an anti-infiltration operation in Uri sector, martyred on May 9, 2025.
3.  **Sergeant Surendra Kumar BM (Rajasthan):** Indian Air Force, 39 Wing, Medical Assistant. Martyred on May 10, 2025, in R.S. Pura sector while aiding injured soldiers during Pakistani shelling. Posthumously awarded Vayu Sena Medal.
4.  **Subedar Major Pawan Kumar (Himachal Pradesh):** Headquarters 10 Infantry Brigade. Chose a border posting despite nearing retirement. Succumbed to injuries on May 10, 2025, after Pakistani firing in Rajouri sector.
5.  **Rifleman Sunil Kumar (Jammu):** 4 Jammu and Kashmir Light Infantry. Did not leave his post and engaged the enemy in close combat. Posthumously awarded Vir Chakra.
6.  **Havaldar Sunil Kumar Singh (Bihar):** 237 Field Workshop Company. Alerted forces about Pakistani drone activity. Remained at post despite serious injuries. Posthumously awarded Sena Medal. Martyred on June 6, 2025.

On April 22, 2025, a terrorist attack in Pahalgam, J&K, killed 26 tourists. India responded with Operation Sindoor on May 6-7, 2025, striking nine Jaish-e-Mohammed and Lashkar-e-Taiba terrorist hideouts in Pakistan and PoK, killing over 100 terrorists. This led to a four-day border escalation, resolved on May 10, 2025, by DGMO talks. Satellite imagery confirmed damage to Pakistani military bases. India asserts severe damage to Pakistan's military capability.

The inscription of these six soldiers' names at the National War Memorial is a national tribute to their indomitable courage, duty, and supreme sacrifice. India will always remember their contribution in the fight against terrorism.",Hindi,27-06-2026 04:11,POSITIVE,5,2
1307275,https://www.youtube.com/watch?v=ZmNIJr0YEp8,Today's 8 AM Top News Headlines | 27June 2026 | Ram Mandir | PM Modi | Rahul,News 24,"Eight accused in the Ram Mandir offering theft case were sent to judicial custody, with ₹80 lakh recovered; resignations of Champat Rai and Anil Mishra are unconfirmed. In Bengal, preparations are underway for UCC implementation, and CM Subhendu spoke about strict anti-conversion laws. PM Modi is on a three-day visit to Seychelles, where he will be the chief guest at the 50th-anniversary celebration and hold bilateral talks with President Patrick Herminie. The names of six martyrs (five from the army, one from the air force) of Operation Sindoor have been publicly released and inscribed on the War Memorial for the first time.","In the Ram Mandir offering theft case, eight accused were sent to three-day judicial custody. So far, ₹80 lakh has been recovered in the investigation. The resignations of Champat Rai and Anil Mishra have not been confirmed. In Bengal too, preparations are underway to implement UCC; CM Subhendu announced this. The bill might be introduced in the assembly. He also spoke about making strict laws against religious conversion. From today, PM Modi will be on a three-day session in Seychelles. He will attend the 50th-anniversary celebration as the chief guest. He will hold bilateral talks with President Patrick Herminie. For the first time, the names of six martyrs of Operation Sindoor have been made public. The names of five army personnel and one air force personnel martyred have been inscribed on the War Memorial.",Hindi,27-06-2026 03:26,POSITIVE,1,0
1307299,https://www.youtube.com/watch?v=3AnhM8MU0V8,Today's 7 AM Top News Headlines | 27 June 2026 | Ram Mandir | PM Modi | Rahul,News 24,"Eight individuals have been sent to police custody in the Ram Mandir donation theft case, with ₹80 lakh recovered. The resignations of Champat Rai and Anil Mishra are unconfirmed. West Bengal is preparing to implement UCC, with CM Suvendu announcing a potential bill in the assembly and talks of stricter anti-conversion laws. PM Modi begins a three-day visit to Seychelles today, where he will be the chief guest at a 50th-anniversary event and engage in bilateral talks with President Patrick Herminie. Additionally, the names of six martyrs from Operation Sindoor (five from the army, one from the air force) have been publicly inscribed on the War Memorial.","In the Ram Mandir donation theft case, eight accused have been sent to three days of police custody. So far, ₹80 lakh has been recovered in the investigation. The resignations of Champat Rai and trustee Anil Mishra have not been confirmed. West Bengal is also preparing to implement UCC (Uniform Civil Code). CM Suvendu announced this. The bill might be presented in the assembly. There was also talk of making stricter laws against religious conversion. From today, PM Modi will be on a three-day visit to Seychelles and will be the chief guest at the 50th-anniversary celebration. He will hold bilateral talks with President Patrick Herminie. The names of six martyrs of Operation Sindoor have been made public for the first time. The names of five army and one air force martyr have been inscribed on the War Memorial.",Hindi,27-06-2026 02:50,POSITIVE,3,0
1307129,https://www.youtube.com/watch?v=YvR6JFaQBPU,6 Indian soldiers martyred in Operation Sindoor | We Will Speak The Truth | Akhilesh Anand,News 24,"This segment highlights the six Indian soldiers who were martyred during Operation Sindoor last May, following the Pahalgam attack. Their names have been officially released and will be inscribed on the National War Memorial in New Delhi and listed on its 'Roll of Honour' website. The fallen include five from the Indian Army and one from the Indian Air Force, with their ranks and names specified. Two of these soldiers received military honors for their exceptional bravery: Rifleman Sunil Kumar was posthumously awarded the Vir Chakra (India's third-highest wartime gallantry award), and Sergeant Surendra Kumar received the Vayu Sena Medal. The memorialization ensures their sacrifice is remembered by the nation.","And now, as this show progresses, let's talk about those brave soldiers of the country who sacrificed everything for the nation during Operation Sindoor. After the Pahalgam attack, the names of six Indian soldiers who attained martyrdom in Operation Sindoor, which took place in May last year, have now come to light. The government has officially made these names public. Now, the names of these soldiers will be inscribed on the National War Memorial in New Delhi. These names will be included in the Roll of Honour on the National War Memorial's website. Among them are five soldiers from the Indian Army and one sergeant from the Indian Air Force. The soldiers who attained martyrdom in Operation Sindoor include Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Agniveer Mood Murali Naik, Havildar Sunil Kumar Singh, and Indian Air Force Sergeant Surendra Kumar. So, the names of the martyrs are being inscribed on the new National War Memorial so that their sacrifice will forever live on in the nation's memory. Of these six soldiers who attained martyrdom, two have also been awarded military honors for their extraordinary bravery. Rifleman Sunil Kumar was posthumously awarded the Vir Chakra, which is the country's third highest wartime gallantry award. Meanwhile, Sergeant Surendra Kumar was awarded the Vayu Sena Medal. And now, we are going to show you a special report, but before that, the headlines.",Hindi,26-06-2026 18:23,POSITIVE,6,0
1306606,https://www.youtube.com/watch?v=Pmi9l3DLQAQ,6 Indian Soldiers Martyred in Operation Sindoor | Operation Sindoor | Indian Armed Forces,NavBharat Live,"On April 22, 2025, a terrorist attack in Pahalgam, Jammu & Kashmir, killed 26 innocents. In response, on May 7, 2025, the Indian government launched 'Operation Sindoor'. It has now been revealed that six Indian soldiers were martyred fighting against Pakistan in this operation. The central government has added their names – Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Avi Moodli Nayak, Havaldar Sunil Kumar Singh, and Surendra Kumar – to the National War Memorial's 'Roll of Honour' list, marking the first official confirmation of their sacrifice. The 'Roll of Honour' records all soldiers martyred in military operations from the 1947-48 India-Pakistan war to date, currently listing 26,626 names. Operation Sindoor aimed to destroy terrorist hideouts in Pakistan and PoK and prevent future attacks, leading to about four days of military tension.","On April 22, 2025, a major terrorist attack took place in Pahalgam, Jammu and Kashmir. In this attack, 26 innocent people lost their lives, most of whom were tourists. For the first time, the country witnessed such a terrorist attack where terrorists specifically targeted people after asking their religion. In response, the Indian government launched Operation Sindoor on the morning of May 7, 2025. What happened after that is well-known. But now, a revelation has come to light which is quite surprising, and it's clear that there will be a lot of politics on this. The revelation is that six brave soldiers of the Indian Army achieved martyrdom while fighting against Pakistan in Operation Sindoor. Actually, the central government has now included these six names in the Roll of Honour list of the National War Memorial. Until now, the government had not made public the identities of the soldiers martyred during the operation. This is considered the first official confirmation. Who are the six martyred soldiers of Operation Sindoor? The names of the six soldiers recorded on the National War Memorial's website include Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Avi Moodli Nayak, Havaldar Sunil Kumar Singh, and Surendra Kumar. All these soldiers were martyred during an action against Pakistan during Operation Sindoor. Now their names have been added to the list of thousands of brave soldiers of the country who made the supreme sacrifice while defending Mother India. Why have the names of the martyrs come out for the first time? Reports of some soldiers being martyred during Operation Sindoor had come to light, but the government had not officially confirmed them for various reasons. Now, after these names have been added to the National War Memorial's Roll of Honour, it has become clear for the first time that these six soldiers were martyred in this operation. Therefore, this is considered the first official confirmation of the martyrs associated with Operation Sindoor. What is the National War Memorial's Roll of Honour? The National War Memorial's Roll of Honour is a record of all those Indian soldiers who sacrificed their lives while defending the country. It includes the names of soldiers martyred in all major wars and military operations from the India-Pakistan war of 1947-48 to date. Now, the names of the six martyrs of Operation Sindoor have also been added to this list. Currently, this list includes a total of 26,626 martyrs. Operation Sindoor was launched after the Pahalgam attack. That date of April 22, 1925, turned a page black in the history of Jammu and Kashmir. That is, a terrorist attack occurred on tourists who had gone to Pahalgam, which was a very famous tourist place. This attack shook the country. In response to this attack, the Indian Army launched Operation Sindoor to destroy several hideouts of terrorists present in Pakistan and PoK. The objective of this action was to inflict major damage on the terrorist network and prevent future attacks. After Operation Sindoor, military tension or confrontation continued between India and Pakistan for about four days. The armies of both countries were on high alert, and counter-actions also took place at several places on the border. During this time, there were also reports of casualties among soldiers, but official information remained very limited. Finally, on May 10, 2025, both countries reached a mutual agreement to stop military action, after which the situation began to normalize. Well, only time will tell whether there will be politics on this or not, but for now, it can be said that they arrived late but correctly. Please tell us your opinion on the information given in the video by commenting.",Hindi,26-06-2026 12:41,POSITIVE,0,1
1306378,https://www.youtube.com/watch?v=MZB2Vf3WgMA,BREAKING NEWS: Names of 6 jawans martyred in Operation Sindoor publicly revealed for the first time! On this Website....,News 24,"The names of six Indian armed forces personnel martyred during ""Operation Sindoor"" have been officially released. These include Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Avi Mud Murli Nayak, Havildar Sunil Kumar Singh, and Surendra Kumar. Their names are now featured on the National War Memorial website's Roll of Honor and will be inscribed on the Memorial's 3D wall in New Delhi in the 2025 section. Notably, Rifleman Sunil Kumar was posthumously awarded the Vir Chakra, and Sergeant Surendra Kumar posthumously received the Vayu Sena Medal for their bravery.","We bring you a big news update: The names of six personnel of the Indian armed forces who were martyred during Operation Sindoor have been officially made public for the first time. These names include Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Avi Mud Murli Nayak, Havildar Sunil Kumar Singh, and Surendra Kumar. These names have been included in the Roll of Honor on the National War Memorial website. Their names have also been inscribed on the 3D wall of the National War Memorial in New Delhi, in the 2025 section. Out of the six martyrs, two have received gallantry awards. Rifleman Sunil Kumar was posthumously awarded the Vir Chakra, while Sergeant Surendra Kumar was posthumously awarded the Vayu Sena Medal for his bravery. We bring you a big news update: The names of six personnel of the Indian armed forces who were martyred during Operation Sindoor have been officially made public for the first time. These names include Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Avi Mud Murli Nayak, Havildar Sunil Kumar Singh, and Surendra Kumar. These names have been included in the Roll of Honor on the National War Memorial website. Their names have also been inscribed on the 3D wall of the National War Memorial in New Delhi, in the 2025 section. Out of the six martyrs, two have received gallantry awards. Rifleman Sunil Kumar was posthumously awarded the Vir Chakra, while Sergeant Surendra Kumar was posthumously awarded the Vayu Sena Medal for his bravery.",Hindi,26-06-2026 11:13,POSITIVE,14,0
